id_passageiro,modulo_estacao,classe_bilhete,nome_tripulante,idade,parentes_a_bordo,horas_treinamento,traje_pressurizado,tarifa_creditos,resgatado
1171,Habitacao,3,Passag. Tripulante_170,34.1,0,147.3,Nao,80.22,0
1172,Comando,3,Dra. Tripulante_171,,0,27.5,Nao,84.36,1
1173,Habitacao,3,Ten. Tripulante_172,36.4,0,0.5,Sim,59.5,0
1174,Laboratorio,2,Passag. Tripulante_173,28.2,3,29.2,Nao,110.28,0
1175,Habitacao,3,Ten. Tripulante_174,,0,2.4,Nao,65.5,0
1176,Laboratorio,3,Passag. Tripulante_175,37.8,1,39.2,Nao,62.44,1
1177,Habitacao,3,Cap. Tripulante_176,37.0,1,20.7,Sim,72.24,1
1178,Laboratorio,1,Passag. Tripulante_177,39.3,1,32.1,Nao,150.53,0
1179,Engenharia,3,Passag. Tripulante_178,56.7,0,47.5,Nao,58.82,0
1180,Comando,3,Passag. Tripulante_179,18.4,1,101.6,Nao,85.39,1
1181,Laboratorio,3,Eng. Tripulante_180,37.7,2,54.2,Nao,60.72,0
1182,Comando,2,Ten. Tripulante_181,,2,28.5,Sim,132.43,1
1183,Engenharia,3,Dra. Tripulante_182,38.7,2,85.6,Nao,73.55,0
1184,Engenharia,3,Eng. Tripulante_183,21.0,0,118.0,Nao,51.91,0
1185,Laboratorio,1,Passag. Tripulante_184,27.0,3,6.4,Sim,176.35,1
1186,Habitacao,3,Passag. Tripulante_185,28.5,0,38.0,Nao,68.82,0
1187,Engenharia,3,Passag. Tripulante_186,43.7,0,16.7,Sim,65.45,1
1188,Habitacao,1,Passag. Tripulante_187,43.0,2,2.4,Nao,172.45,1
1189,Habitacao,2,Passag. Tripulante_188,,0,55.2,Sim,124.75,1
1190,Laboratorio,3,Passag. Tripulante_189,32.7,0,99.3,Nao,77.08,1
1191,Comando,1,Cap. Tripulante_190,23.5,1,8.9,Nao,181.78,1
1192,Engenharia,3,Passag. Tripulante_191,16.9,1,83.7,Nao,74.08,0
1193,Engenharia,2,Passag. Tripulante_192,29.4,1,96.0,Nao,106.24,0
1194,Habitacao,3,Passag. Tripulante_193,28.3,1,122.9,Nao,65.26,0
1195,Laboratorio,1,Ten. Tripulante_194,61.1,1,15.4,Sim,199.43,1
1196,Laboratorio,3,Eng. Tripulante_195,37.2,2,117.1,Nao,77.24,1
1197,Habitacao,3,Eng. Tripulante_196,15.5,0,19.3,Nao,93.69,0
1198,Engenharia,3,Passag. Tripulante_197,25.2,0,40.2,Nao,83.95,0
1199,Engenharia,3,Passag. Tripulante_198,44.3,0,2.6,Sim,72.42,1
1200,Habitacao,1,Eng. Tripulante_199,57.1,1,2.2,Nao,173.01,0
1201,Habitacao,3,Passag. Tripulante_200,13.0,3,63.7,Nao,69.63,0
1202,Comando,1,Ten. Tripulante_201,9.4,1,29.4,Nao,152.62,1
1203,Laboratorio,1,Eng. Tripulante_202,54.5,2,14.8,Sim,170.18,1
1204,Engenharia,2,Dra. Tripulante_203,36.7,0,10.6,Sim,132.11,1
1205,Habitacao,2,Passag. Tripulante_204,21.6,2,55.4,Nao,114.0,0
1206,Comando,3,Passag. Tripulante_205,38.4,1,0.0,Sim,74.12,1
1207,Comando,3,Cap. Tripulante_206,1.0,0,82.0,Nao,78.52,1
1208,Habitacao,2,Passag. Tripulante_207,32.0,3,4.1,Sim,110.9,0
1209,Comando,2,Cap. Tripulante_208,35.9,1,10.6,Nao,115.49,0
1210,Laboratorio,3,Passag. Tripulante_209,,0,24.4,Sim,59.82,1
1211,Habitacao,2,Passag. Tripulante_210,19.8,1,33.2,Nao,111.78,0
1212,Habitacao,2,Passag. Tripulante_211,33.0,1,21.9,Nao,107.12,0
1213,Habitacao,1,Dra. Tripulante_212,20.9,0,19.3,Sim,161.0,1
1214,Laboratorio,3,Passag. Tripulante_213,35.1,0,166.1,Sim,84.19,1
1215,Habitacao,3,Passag. Tripulante_214,21.3,0,51.3,Sim,60.85,0
1216,Laboratorio,2,Eng. Tripulante_215,27.1,0,1.2,Nao,121.26,0
1217,Laboratorio,1,Passag. Tripulante_216,20.1,2,28.1,Nao,164.97,1
1218,Habitacao,3,Cap. Tripulante_217,39.8,0,104.0,Nao,81.79,0
1219,Habitacao,3,Passag. Tripulante_218,42.3,2,17.9,Nao,83.11,0
1220,Engenharia,2,Ten. Tripulante_219,29.2,0,5.0,Nao,128.64,0
1221,Habitacao,3,Passag. Tripulante_220,32.5,1,71.0,Sim,73.06,1
1222,Habitacao,1,Passag. Tripulante_221,14.6,0,46.6,Sim,167.69,1
1223,Comando,2,Dra. Tripulante_222,28.4,2,42.2,Sim,108.08,1
1224,Laboratorio,3,Ten. Tripulante_223,31.4,2,2.8,Nao,89.44,0
1225,Laboratorio,2,Dra. Tripulante_224,63.4,0,7.6,Nao,112.4,0
1226,Laboratorio,3,Eng. Tripulante_225,18.7,0,48.7,Sim,76.64,1
1227,Engenharia,2,Eng. Tripulante_226,49.6,0,11.6,Nao,130.6,0
1228,Laboratorio,2,Passag. Tripulante_227,44.0,3,35.1,Nao,114.45,0
1229,Engenharia,3,Cap. Tripulante_228,35.4,0,39.4,Nao,80.38,0
1230,Habitacao,2,Cap. Tripulante_229,53.1,0,16.7,Sim,127.64,1
1231,Habitacao,3,Passag. Tripulante_230,36.5,2,148.2,Sim,87.28,1
1232,Habitacao,2,Dra. Tripulante_231,36.7,3,92.4,Nao,115.31,0
1233,Habitacao,2,Passag. Tripulante_232,31.4,2,64.1,Nao,107.14,1
1234,Habitacao,1,Passag. Tripulante_233,46.7,1,4.1,Nao,164.95,0
1235,Laboratorio,3,Passag. Tripulante_234,45.2,1,5.6,Sim,72.09,0
1236,Habitacao,2,Passag. Tripulante_235,24.5,1,33.9,Sim,120.58,0
1237,Laboratorio,3,Passag. Tripulante_236,16.2,1,8.8,Nao,66.07,0
1238,Comando,2,Ten. Tripulante_237,29.6,0,191.4,Nao,100.91,0
1239,Habitacao,3,Dra. Tripulante_238,22.4,2,8.6,Nao,74.7,0
1240,Laboratorio,1,Ten. Tripulante_239,31.2,0,33.4,Nao,189.72,0
1241,Engenharia,3,Passag. Tripulante_240,,1,22.6,Sim,74.64,0
1242,Engenharia,3,Dra. Tripulante_241,26.5,1,51.0,Nao,76.09,0
1243,Engenharia,3,Passag. Tripulante_242,31.5,1,6.9,Nao,75.72,0
1244,Laboratorio,3,Passag. Tripulante_243,32.7,0,28.1,Sim,73.97,1
1245,Comando,3,Passag. Tripulante_244,42.2,1,16.1,Nao,79.32,0
1246,Engenharia,3,Passag. Tripulante_245,5.0,1,109.4,Sim,73.95,1
1247,Laboratorio,1,Dra. Tripulante_246,24.7,0,2.1,Sim,166.87,1
1248,Engenharia,1,Passag. Tripulante_247,34.5,0,122.5,Sim,162.04,1
1249,Engenharia,3,Passag. Tripulante_248,46.4,1,89.5,Sim,67.51,1
1250,Engenharia,3,Ten. Tripulante_249,26.1,0,17.7,Sim,73.14,0
1251,Laboratorio,3,Dra. Tripulante_250,9.5,0,77.9,Nao,66.84,1
1252,Laboratorio,2,Passag. Tripulante_251,39.4,1,1.6,Nao,123.14,0
1253,Engenharia,1,Passag. Tripulante_252,24.4,1,170.4,Nao,174.39,1
1254,Laboratorio,1,Passag. Tripulante_253,17.7,1,37.4,Sim,178.33,1
1255,Laboratorio,3,Passag. Tripulante_254,24.5,2,18.1,Sim,82.83,1
1256,Habitacao,2,Passag. Tripulante_255,29.8,1,22.5,Nao,120.78,0
1257,Engenharia,2,Passag. Tripulante_256,24.7,2,3.4,Sim,106.92,1
1258,Habitacao,2,Eng. Tripulante_257,,0,227.1,Sim,116.55,1
1259,Habitacao,1,Eng. Tripulante_258,42.8,0,2.0,Nao,170.44,0
1260,Comando,3,Eng. Tripulante_259,47.3,0,53.2,Nao,51.64,1
1261,Habitacao,2,Passag. Tripulante_260,39.8,0,29.2,Nao,133.89,0
1262,Engenharia,3,Passag. Tripulante_261,,0,148.7,Nao,71.42,0
1263,Comando,2,Passag. Tripulante_262,29.6,0,14.1,Sim,123.81,1
1264,Habitacao,2,Eng. Tripulante_263,31.9,1,38.0,Nao,133.66,0
1265,Engenharia,1,Passag. Tripulante_264,39.2,0,32.9,Sim,163.7,1
1266,Habitacao,1,Passag. Tripulante_265,40.0,1,60.7,Nao,175.74,1
1267,Habitacao,2,Passag. Tripulante_266,,0,3.5,Sim,118.9,1
1268,Habitacao,2,Passag. Tripulante_267,33.0,0,10.8,Nao,118.16,0
1269,Laboratorio,3,Ten. Tripulante_268,37.5,2,12.1,Sim,62.28,1
1270,Laboratorio,2,Passag. Tripulante_269,49.5,1,67.0,Nao,136.66,0
1271,Engenharia,3,Ten. Tripulante_270,40.5,2,10.5,Nao,66.24,0
1272,Engenharia,3,Eng. Tripulante_271,41.5,0,42.6,Nao,76.99,0
1273,Engenharia,3,Eng. Tripulante_272,33.0,0,12.1,Nao,51.25,0
1274,Engenharia,1,Passag. Tripulante_273,,1,98.9,Nao,181.8,1
1275,Habitacao,2,Passag. Tripulante_274,36.9,3,142.5,Nao,130.52,0
1276,Habitacao,1,Passag. Tripulante_275,21.7,4,36.5,Nao,170.97,1
1277,Habitacao,2,Passag. Tripulante_276,48.8,0,21.7,Nao,117.73,0
1278,Habitacao,3,Passag. Tripulante_277,40.4,1,13.3,Nao,74.0,0
1279,Habitacao,1,Passag. Tripulante_278,26.7,2,2.6,Nao,192.89,0
1280,Habitacao,2,Dra. Tripulante_279,26.2,1,15.6,Nao,102.37,0
1281,Engenharia,3,Cap. Tripulante_280,35.6,0,53.1,Nao,77.82,0
1282,Laboratorio,3,Eng. Tripulante_281,37.6,0,38.1,Nao,60.88,0
1283,Laboratorio,3,Eng. Tripulante_282,34.4,3,144.2,Nao,69.8,0
1284,Comando,1,Dra. Tripulante_283,35.7,2,25.2,Nao,167.52,1
1285,Habitacao,2,Ten. Tripulante_284,52.4,0,59.2,Sim,115.72,1
1286,Comando,3,Cap. Tripulante_285,44.9,0,33.6,Nao,69.9,1
1287,Habitacao,1,Passag. Tripulante_286,34.3,2,35.9,Nao,158.66,0
1288,Habitacao,2,Eng. Tripulante_287,43.3,0,15.6,Nao,130.29,0
1289,Laboratorio,1,Eng. Tripulante_288,19.6,1,30.3,Nao,152.06,1
1290,Habitacao,1,Ten. Tripulante_289,36.8,0,31.8,Sim,175.4,1
1291,Comando,2,Passag. Tripulante_290,53.7,1,61.3,Nao,116.73,1
1292,Comando,1,Cap. Tripulante_291,29.4,1,141.2,Nao,158.29,1
1293,Engenharia,3,Ten. Tripulante_292,,1,20.0,Nao,72.02,0
1294,Laboratorio,3,Passag. Tripulante_293,,1,2.2,Sim,54.43,0
1295,Comando,3,Dra. Tripulante_294,18.9,0,34.3,Nao,70.4,0
1296,Habitacao,2,Dra. Tripulante_295,22.6,1,39.3,Nao,105.77,0
1297,Habitacao,1,Ten. Tripulante_296,27.6,2,9.2,Sim,174.61,1
1298,Laboratorio,1,Dra. Tripulante_297,15.1,0,71.5,Sim,160.76,1
1299,Habitacao,3,Ten. Tripulante_298,32.2,3,209.7,Sim,65.49,1
1300,Comando,3,Eng. Tripulante_299,42.8,1,145.7,Nao,72.94,1
1301,Comando,1,Passag. Tripulante_300,,2,11.0,Sim,162.27,1
1302,Habitacao,3,Passag. Tripulante_301,50.2,0,104.1,Sim,69.42,1
1303,Habitacao,1,Passag. Tripulante_302,38.1,0,61.0,Nao,154.86,0
1304,Habitacao,3,Cap. Tripulante_303,44.4,0,30.2,Sim,76.31,1
1305,Habitacao,3,Passag. Tripulante_304,24.1,1,38.9,Sim,87.65,1
1306,Engenharia,3,Eng. Tripulante_305,,0,94.7,Nao,97.92,1
1307,Habitacao,3,Dra. Tripulante_306,18.9,0,32.7,Nao,70.91,0
1308,Laboratorio,3,Passag. Tripulante_307,42.7,2,23.4,Nao,77.88,0
1309,Habitacao,2,Ten. Tripulante_308,34.1,0,34.0,Nao,102.19,0
1310,Laboratorio,3,Eng. Tripulante_309,38.6,2,43.3,Nao,85.03,0
1311,Laboratorio,1,Passag. Tripulante_310,17.9,0,10.5,Nao,177.76,1
1312,Comando,3,Passag. Tripulante_311,21.3,0,115.6,Sim,65.16,1
1313,Comando,3,Eng. Tripulante_312,39.2,0,56.1,Sim,82.37,1
1314,Engenharia,3,Passag. Tripulante_313,20.6,2,50.2,Nao,67.46,0
1315,Engenharia,2,Passag. Tripulante_314,37.6,1,5.2,Sim,115.42,0
1316,Habitacao,3,Ten. Tripulante_315,15.6,2,46.3,Nao,74.75,0
1317,Laboratorio,3,Cap. Tripulante_316,42.2,0,6.4,Nao,59.37,0
1318,Laboratorio,3,Eng. Tripulante_317,,1,4.1,Sim,80.22,0
1319,Laboratorio,1,Eng. Tripulante_318,38.6,0,37.5,Sim,159.44,1
1320,Laboratorio,1,Eng. Tripulante_319,39.5,2,25.8,Sim,159.5,1
1321,Habitacao,2,Passag. Tripulante_320,23.6,1,44.4,Nao,110.9,0
1322,Habitacao,1,Passag. Tripulante_321,39.0,2,4.7,Nao,177.6,0
1323,Habitacao,3,Passag. Tripulante_322,35.1,0,28.2,Nao,63.83,0
1324,Laboratorio,2,Eng. Tripulante_323,25.5,1,9.6,Sim,106.52,1
